 angular_freq	sdprior	gsk	gck
   1.69470155       3.55998578E-04   3.98868928E-04   9.45217791E-04
   1.72667706       3.42935527E-04   3.83481965E-04   6.13730634E-04
   1.75865257       3.30578507E-04   5.37104032E-04   4.38436953E-04
   1.79062808       3.18877544E-04   8.27836397E-04   5.34776656E-04
   1.82260346       3.07787006E-04   3.33154254E-04   7.64722994E-04
   1.85457897       2.97265156E-04   7.70333863E-04   6.67775399E-04
   1.88655448       2.87273782E-04   5.53250255E-04   7.38366740E-04
   1.91852999       2.77777785E-04   4.03280486E-04   1.18878251E-03
   1.95050550       2.68744974E-04   3.67395260E-04   7.64707511E-04
   1.98248100       2.60145694E-04   3.11143987E-04   9.51414811E-04
   2.01445651       2.51952646E-04   6.00832282E-04   9.83519712E-04
   2.04643202       2.44140625E-04   2.10426442E-04   3.98885371E-04
   2.07840753       2.36686392E-04   2.57188309E-04   1.17460219E-03
   2.11038303       2.29568410E-04   1.61504213E-04   6.47980836E-04
   2.14235854       2.22766757E-04   2.24427451E-04   7.04746868E-04
   2.17433405       2.16262983E-04   2.52023980E-04   4.93816508E-04
   2.20630956       2.10039914E-04   1.39713346E-04   1.10106554E-03
   2.23828506       2.04081633E-04   6.49466994E-04   3.49477865E-04
   2.27026057       1.98373338E-04   1.16240734E-03   4.22649930E-04
   2.30223608       1.92901236E-04   3.35084245E-04   6.67598622E-04
   2.33421159       1.87652462E-04   8.83934408E-05   2.41164686E-04
   2.36618710       1.82615055E-04   6.88888133E-04   1.14882998E-04
   2.39816260       1.77777780E-04   2.04453419E-04   2.50709913E-04
   2.43013811       1.73130189E-04   5.19177062E-04   1.23894497E-04
   2.46211362       1.68662504E-04   5.27279510E-04   5.32318489E-04
   2.49408913       1.64365556E-04   5.02713723E-04   6.97061711E-04
   2.52606463       1.60230731E-04   3.12374090E-04   1.32941481E-04
   2.55804014       1.56249997E-04   1.73880224E-04   5.10704471E-04
   2.59001565       1.52415756E-04   3.05202411E-04   2.65194773E-04
   2.62199092       1.48720996E-04   1.47640647E-04   2.75266066E-04
   2.65396643       1.45158949E-04   1.51345143E-04   2.68392439E-04
   2.68594193       1.41723358E-04   9.88261672E-05   2.08639205E-04
   2.71791744       1.38408301E-04   3.45302833E-04   3.27092625E-04
   2.74989295       1.35208218E-04   2.44263763E-04   3.37739504E-04
   2.78186846       1.32117842E-04   1.11733563E-04   1.39694763E-04
   2.81384397       1.29132226E-04   1.41084369E-04   6.69062661E-04
   2.84581947       1.26246683E-04   1.49804066E-04   3.69077956E-04
   2.87779498       1.23456790E-04   1.87672398E-04   1.36042538E-04
   2.90977049       1.20758363E-04   6.06454210E-04   3.71056172E-04
   2.94174600       1.18147451E-04   1.29220964E-04   2.69620417E-04
   2.97372150       1.15620300E-04   3.72596609E-04   9.92074492E-05
   3.00569701       1.13173381E-04   2.81707617E-04   1.67288541E-04
   3.03767252       1.10803325E-04   7.78009344E-05   4.74631670E-04
   3.06964803       1.08506945E-04   2.11135237E-04   5.81572785E-05
   3.10162354       1.06281223E-04   8.88518771E-05   2.76089500E-04
