# Frequency	Power
5.9829059829e-04 2.0411660302e+01
6.0683760684e-04 1.1256577195e+00
6.1538461538e-04 3.7357697069e+00
6.2393162393e-04 1.0955856541e+01
6.3247863248e-04 4.0339352735e+01
6.4102564103e-04 6.4858585533e+00
6.4957264957e-04 2.1356845187e+01
6.5811965812e-04 4.0082945669e+01
6.6666666667e-04 1.2286341181e+00
6.7521367521e-04 1.1159914504e+02
6.8376068376e-04 6.6032819131e+01
6.9230769231e-04 1.4653044031e+01
7.0085470085e-04 6.0694758792e+00
7.0940170940e-04 2.7036166298e+01
7.1794871795e-04 2.5369314915e+01
7.2649572650e-04 1.6346125690e+01
7.3504273504e-04 1.9943864197e+01
7.4358974359e-04 2.3443154527e+01
7.5213675214e-04 4.4402707936e-01
7.6068376068e-04 1.3102607772e+01
7.6923076923e-04 9.4407710305e+00
7.7777777778e-04 2.1845813985e+01
7.8632478632e-04 8.9987646019e+00
7.9487179487e-04 4.4569863978e+00
8.0341880342e-04 1.0476572545e+01
8.1196581197e-04 3.0331960563e+01
8.2051282051e-04 1.3076330797e+01
8.2905982906e-04 3.9824605346e+00
8.3760683761e-04 2.0129848188e+01
8.4615384615e-04 2.9905092860e+01
8.5470085470e-04 1.4845964172e+01
8.6324786325e-04 1.1950452045e+00
8.7179487179e-04 3.2473139755e+00
8.8034188034e-04 8.3613794306e-01
8.8888888889e-04 2.0934194852e+00
8.9743589744e-04 2.5507398381e+00
9.0598290598e-04 7.2252621653e+00
9.1452991453e-04 2.5428730782e+01
9.2307692308e-04 3.2933156234e+00
9.3162393162e-04 1.5120787726e+00
9.4017094017e-04 2.2443288963e+00
9.4871794872e-04 1.4401556056e+01
9.5726495726e-04 5.5163353163e+00
9.6581196581e-04 2.1090160715e+00
9.7435897436e-04 8.4001214834e+00
9.8290598291e-04 7.9955819797e+00
9.9145299145e-04 4.4172647635e+00
1.0000000000e-03 1.3765509707e+01
1.0085470085e-03 5.5283915410e+00
1.0170940171e-03 2.5518876879e+00
1.0256410256e-03 1.5744461693e-01
1.0341880342e-03 2.3132628972e+00
1.0427350427e-03 5.3429802936e+00
1.0512820513e-03 1.9694470561e+00
1.0598290598e-03 2.1183224221e-01
1.0683760684e-03 1.2522891531e+00
1.0769230769e-03 8.2468397077e-01
1.0854700855e-03 3.0477415778e+01
1.0940170940e-03 8.6654244720e+00
1.1025641026e-03 2.2741017114e+01
1.1111111111e-03 3.5003253742e+00
1.1196581197e-03 4.1866810090e+00
1.1282051282e-03 3.0676530527e+00
1.1367521368e-03 7.5468600647e+00
1.1452991453e-03 1.9121611985e+00
1.1538461538e-03 7.4162091102e+00
1.1623931624e-03 1.3661064758e+01
1.1709401709e-03 3.8658228333e+00
1.1794871795e-03 1.7116328574e+00
1.1880341880e-03 2.0700175299e+01
1.1965811966e-03 6.6812659335e+00
1.2051282051e-03 3.2543783637e+01
1.2136752137e-03 3.4866712466e+00
1.2222222222e-03 1.6039601894e+00
1.2307692308e-03 1.0407959962e+00
1.2393162393e-03 7.8741218608e+00
1.2478632479e-03 6.6753780875e+00
1.2564102564e-03 2.9441473103e+00
1.2649572650e-03 3.8279523656e+00
1.2735042735e-03 2.0593567605e+00
1.2820512821e-03 2.8603339872e+00
1.2905982906e-03 5.8164632362e+00
1.2991452991e-03 1.0396427322e+01
1.3076923077e-03 3.9540165690e+00
1.3162393162e-03 1.5371722839e+00
1.3247863248e-03 5.2716545216e+00
1.3333333333e-03 1.4820871246e+01
1.3418803419e-03 6.4287720081e+00
1.3504273504e-03 8.9710663421e-01
1.3589743590e-03 5.8925770279e+00
1.3675213675e-03 3.1234452933e-01
1.3760683761e-03 8.5776708437e+00
1.3846153846e-03 9.9563254230e+00
1.3931623932e-03 3.5724665729e+00
1.4017094017e-03 1.3126591130e+01
1.4102564103e-03 1.0710598687e+01
1.4188034188e-03 1.1575180158e+00
1.4273504274e-03 2.0395280050e-01
1.4358974359e-03 6.9524938561e+00
1.4444444444e-03 9.6114756065e+00
1.4529914530e-03 2.3729149211e+01
1.4615384615e-03 2.4375428428e+00
1.4700854701e-03 8.6578769651e+00
1.4786324786e-03 6.7395891806e-01
1.4871794872e-03 4.2639829958e+00
1.4957264957e-03 1.4515940348e+00
1.5042735043e-03 4.4694102347e+00
1.5128205128e-03 1.4914528504e+00
1.5213675214e-03 1.9575586965e+00
1.5299145299e-03 2.0422484968e+00
1.5384615385e-03 8.4930524390e+00
1.5470085470e-03 8.7500919688e-01
1.5555555556e-03 7.8430841295e-02
1.5641025641e-03 3.7278359655e+00
1.5726495726e-03 3.5682565906e+00
1.5811965812e-03 3.0398743895e+00
1.5897435897e-03 2.6209753234e+00
1.5982905983e-03 6.4210699741e+00
1.6068376068e-03 6.3021771546e+00
1.6153846154e-03 9.9080671104e-01
1.6239316239e-03 8.8474721003e+00
1.6324786325e-03 3.3004632675e+00
1.6410256410e-03 3.6324655076e+00
1.6495726496e-03 3.5484171382e-01
1.6581196581e-03 4.5201558605e+00
1.6666666667e-03 1.1024722673e-01
1.6752136752e-03 1.2280817476e-01
1.6837606838e-03 7.3768233322e+00
1.6923076923e-03 6.2697115113e+00
1.7008547009e-03 7.9948474175e+00
1.7094017094e-03 8.7244177256e-01
1.7179487179e-03 7.1965749515e+00
1.7264957265e-03 7.0516028186e+00
1.7350427350e-03 2.2026751181e+00
1.7435897436e-03 2.9006110263e+00
1.7521367521e-03 2.7212644665e+00
1.7606837607e-03 2.7824115457e+00
1.7692307692e-03 4.2076459382e+00
1.7777777778e-03 7.3166520122e+00
1.7863247863e-03 2.2402502325e+00
1.7948717949e-03 1.2784238253e+00
1.8034188034e-03 1.8209374709e+00
1.8119658120e-03 5.7652363339e+00
1.8205128205e-03 1.0393928730e+01
1.8290598291e-03 1.4054246650e-01
1.8376068376e-03 4.8560227944e-01
1.8461538462e-03 2.1430940058e+00
1.8547008547e-03 1.1487911990e+00
1.8632478632e-03 6.5779617097e+00
1.8717948718e-03 7.8159925414e-01
1.8803418803e-03 1.3693261317e+00
1.8888888889e-03 1.9329044583e+00
1.8974358974e-03 1.4839327503e-01
1.9059829060e-03 5.6141521174e+00
1.9145299145e-03 3.4991485165e+00
1.9230769231e-03 1.9911833425e+00
1.9316239316e-03 6.7160995707e+00
1.9401709402e-03 4.7577883773e+00
1.9487179487e-03 3.7628865767e+00
1.9572649573e-03 1.5029267434e+00
1.9658119658e-03 1.4056859253e+00
1.9743589744e-03 1.7702878427e+00
1.9829059829e-03 1.5110513284e+00
1.9914529915e-03 7.7429067573e+00
2.0000000000e-03 6.4625045834e+00
2.0085470085e-03 1.4478730123e+01
2.0170940171e-03 2.4967400072e+00
2.0256410256e-03 4.5209155290e+00
2.0341880342e-03 8.1325875620e-01
2.0427350427e-03 6.1243280321e-02
2.0512820513e-03 1.9538662035e-01
2.0598290598e-03 4.3107133725e+00
2.0683760684e-03 7.2017943639e-01
2.0769230769e-03 3.7317804906e+00
2.0854700855e-03 1.2578530279e+00
2.0940170940e-03 6.3573527629e-01
2.1025641026e-03 1.2154169442e+00
2.1111111111e-03 1.1716549933e+01
2.1196581197e-03 7.2372127726e+00
2.1282051282e-03 2.2675259536e+00
2.1367521368e-03 1.5728470546e+00
2.1452991453e-03 1.3525128729e+00
2.1538461538e-03 1.4705963539e+00
2.1623931624e-03 3.2730192986e+00
2.1709401709e-03 1.8172315851e+00
2.1794871795e-03 5.2184059399e+00
2.1880341880e-03 1.1414641865e+00
2.1965811966e-03 3.7400235601e-01
2.2051282051e-03 3.1942139833e-01
2.2136752137e-03 6.8437002362e-01
2.2222222222e-03 1.9703322962e+00
2.2307692308e-03 2.3757536194e+00
2.2393162393e-03 3.2654038948e+00
2.2478632479e-03 5.4822859422e-01
2.2564102564e-03 3.6290795969e+00
2.2649572650e-03 4.8047737210e+00
2.2735042735e-03 2.5593235203e+00
2.2820512821e-03 7.8002734187e-02
2.2905982906e-03 1.1231175128e+00
2.2991452991e-03 4.9780598995e+00
2.3076923077e-03 5.8347955408e-01
2.3162393162e-03 4.9997326617e-02
2.3247863248e-03 2.1863073790e+00
2.3333333333e-03 6.8919557279e-01
2.3418803419e-03 1.0442058464e+01
2.3504273504e-03 3.2090660844e+00
2.3589743590e-03 5.8945670839e+00
2.3675213675e-03 1.3061850585e+00
2.3760683761e-03 6.3962722750e+00
2.3846153846e-03 1.3601648544e+00
2.3931623932e-03 2.2093138029e+00
2.4017094017e-03 4.5730300893e+00
2.4102564103e-03 4.1135212404e+00
2.4188034188e-03 3.1052730184e-01
2.4273504274e-03 1.1614738293e-01
2.4358974359e-03 3.1315001926e+00
2.4444444444e-03 1.2992114461e+00
2.4529914530e-03 7.2535758010e-01
2.4615384615e-03 4.7423313311e+00
2.4700854701e-03 5.4578286466e-01
2.4786324786e-03 3.6088560778e-01
2.4871794872e-03 5.3383151876e+00
2.4957264957e-03 2.2161971137e+00
2.5042735043e-03 7.4573522977e-01
2.5128205128e-03 2.0541406733e+00
2.5213675214e-03 1.6215093981e-01
2.5299145299e-03 1.4013695948e+00
2.5384615385e-03 5.8210274378e+00
2.5470085470e-03 5.6397259171e-01
2.5555555556e-03 6.4358269819e-01
2.5641025641e-03 1.5045122232e+00
2.5726495726e-03 4.2641772989e+00
2.5811965812e-03 4.3001983675e-01
2.5897435897e-03 3.2950501561e-01
2.5982905983e-03 6.9142916067e-01
2.6068376068e-03 1.6438820601e+00
2.6153846154e-03 9.9448407067e-01
2.6239316239e-03 1.7195611893e+00
2.6324786325e-03 1.2363310831e+00
2.6410256410e-03 1.7756328596e+00
2.6495726496e-03 1.0456716918e+00
2.6581196581e-03 2.1344943217e+00
2.6666666667e-03 1.2891520141e+00
2.6752136752e-03 2.5393701622e+00
2.6837606838e-03 5.8787785785e-01
2.6923076923e-03 3.8138908894e-01
2.7008547009e-03 4.2469434436e-01
2.7094017094e-03 2.0187941774e-02
2.7179487179e-03 3.2995375839e-01
2.7264957265e-03 1.6611266955e+00
2.7350427350e-03 6.1948038055e-01
2.7435897436e-03 3.4291286765e+00
2.7521367521e-03 1.2679044852e+00
2.7606837607e-03 1.1422674199e+00
2.7692307692e-03 1.6650332970e+00
2.7777777778e-03 6.3319266218e-01
2.7863247863e-03 7.6613260829e-01
2.7948717949e-03 3.1421968855e+00
2.8034188034e-03 3.0388141094e-01
2.8119658120e-03 1.7402329392e+00
2.8205128205e-03 2.1990246905e+00
2.8290598291e-03 1.3546795430e+00
2.8376068376e-03 4.1905794703e-01
2.8461538462e-03 8.0574909243e-02
2.8547008547e-03 9.2705038003e-01
2.8632478632e-03 3.4354978537e-01
2.8717948718e-03 6.9274291074e-01
2.8803418803e-03 7.4468181767e-01
2.8888888889e-03 6.0776197555e-02
2.8974358974e-03 3.0288310139e+00
2.9059829060e-03 1.8689045298e+00
2.9145299145e-03 8.3819922111e-01
2.9230769231e-03 4.2008514735e-01
2.9316239316e-03 3.6936718531e-01
2.9401709402e-03 2.1088056670e+00
2.9487179487e-03 1.8175641829e+00
2.9572649573e-03 5.6103435416e-01
2.9658119658e-03 1.1566333897e+00
2.9743589744e-03 2.7712571246e+00
2.9829059829e-03 4.6051002815e+00
2.9914529915e-03 2.9823353653e+00
3.0000000000e-03 5.5869797872e-01
3.0085470085e-03 4.8703913791e-01
3.0170940171e-03 4.5924737352e-01
3.0256410256e-03 9.8373594922e-01
3.0341880342e-03 7.4605874071e-01
3.0427350427e-03 4.2499786654e-01
3.0512820513e-03 1.5671176833e+00
3.0598290598e-03 4.6253330463e-02
3.0683760684e-03 9.3744600333e-01
3.0769230769e-03 7.3904560176e-01
3.0854700855e-03 5.8518026970e-01
3.0940170940e-03 8.9657607295e-02
3.1025641026e-03 4.0619090625e-01
3.1111111111e-03 2.7240246674e-02
3.1196581197e-03 5.2870116895e+00
3.1282051282e-03 8.1800686885e-01
3.1367521368e-03 2.0907112635e-01
3.1452991453e-03 6.3701438183e-01
3.1538461538e-03 1.9172375899e-01
3.1623931624e-03 3.7729029922e-01
3.1709401709e-03 6.8334778663e-01
3.1794871795e-03 1.5986297482e+00
3.1880341880e-03 6.7925592315e-01
3.1965811966e-03 1.4145811383e+00
3.2051282051e-03 1.4490552096e+00
3.2136752137e-03 2.5756162073e+00
3.2222222222e-03 9.7685903499e-02
3.2307692308e-03 2.7017428664e-02
3.2393162393e-03 2.7980400343e-01
3.2478632479e-03 1.1718460018e+00
3.2564102564e-03 3.8149412625e-01
3.2649572650e-03 1.2618286829e+00
3.2735042735e-03 1.8739727751e+00
3.2820512821e-03 6.5971524034e+00
3.2905982906e-03 4.1380964221e-01
3.2991452991e-03 7.0772697326e-01
3.3076923077e-03 1.1486373824e+00
3.3162393162e-03 1.1529329356e+00
3.3247863248e-03 1.5842715595e+00
3.3333333333e-03 2.0079852391e-02
3.3418803419e-03 3.1648183555e+00
3.3504273504e-03 4.2201358640e+00
3.3589743590e-03 8.0387701741e-01
3.3675213675e-03 2.5850436318e-01
3.3760683761e-03 1.9976925388e+00
3.3846153846e-03 3.1368257882e+00
3.3931623932e-03 8.2107390416e-01
3.4017094017e-03 1.9038016363e+00
3.4102564103e-03 4.1457513449e-01
3.4188034188e-03 1.1184932087e+00
3.4273504274e-03 4.9277516441e-01
3.4358974359e-03 9.5688339520e-02
3.4444444444e-03 1.3370009699e-01
3.4529914530e-03 2.0630147712e+00
3.4615384615e-03 8.3333814275e-02
3.4700854701e-03 4.9209986714e-01
3.4786324786e-03 2.2029963148e+00
3.4871794872e-03 1.3350310875e+00
3.4957264957e-03 1.0245636209e+00
3.5042735043e-03 4.7264144795e-01
3.5128205128e-03 3.1782814744e-01
3.5213675214e-03 4.1706799836e-01
3.5299145299e-03 4.1269345405e-01
3.5384615385e-03 2.4848144310e-01
3.5470085470e-03 6.1256451434e-01
3.5555555556e-03 1.0690842057e-01
3.5641025641e-03 3.0313311629e-01
3.5726495726e-03 1.2698006453e-01
3.5811965812e-03 7.2694520472e-01
3.5897435897e-03 1.1525124120e+00
3.5982905983e-03 2.3058794812e+00
3.6068376068e-03 1.4558403351e-01
3.6153846154e-03 1.6546916453e+00
3.6239316239e-03 1.7762775366e-01
3.6324786325e-03 1.1258302726e+00
3.6410256410e-03 2.0507687824e+00
3.6495726496e-03 1.2462375761e+00
3.6581196581e-03 1.3300802178e-01
3.6666666667e-03 1.3134457465e-01
3.6752136752e-03 2.3247331951e-01
3.6837606838e-03 7.5564416084e-01
3.6923076923e-03 3.6621435699e-02
3.7008547009e-03 2.4365556487e-01
3.7094017094e-03 8.1555696773e-02
3.7179487179e-03 2.2574792788e-03
3.7264957265e-03 8.4945188441e-01
3.7350427350e-03 1.8966998034e+00
3.7435897436e-03 1.8995642703e+00
3.7521367521e-03 1.1533666542e-01
3.7606837607e-03 1.0099258857e+00
3.7692307692e-03 1.8972527556e+00
3.7777777778e-03 2.1461485436e-01
3.7863247863e-03 7.3999665306e-01
3.7948717949e-03 6.0887552058e-01
3.8034188034e-03 1.0217554763e+00
3.8119658120e-03 1.8419094979e+00
3.8205128205e-03 5.5898577319e-01
3.8290598291e-03 2.4518783978e-02
3.8376068376e-03 4.1851962462e-01
3.8461538462e-03 7.9641052801e-01
3.8547008547e-03 1.6401361940e-01
3.8632478632e-03 1.5504811683e+00
3.8717948718e-03 3.7179167147e-01
3.8803418803e-03 2.1536654658e+00
3.8888888889e-03 1.1623938713e+00
3.8974358974e-03 1.2261715022e+00
3.9059829060e-03 9.5347685896e-01
3.9145299145e-03 7.1862508860e-01
3.9230769231e-03 7.4702727079e-01
3.9316239316e-03 5.0085401739e-02
3.9401709402e-03 9.5966803002e-01
3.9487179487e-03 2.0939474746e+00
3.9572649573e-03 1.0258075304e+00
3.9658119658e-03 9.4599576177e-01
3.9743589744e-03 5.7500724205e-01
3.9829059829e-03 3.1026030481e-02
3.9914529915e-03 2.9290254225e-01
4.0000000000e-03 4.3256254651e-01
4.0085470085e-03 9.1555336507e-01
4.0170940171e-03 8.7898097708e-01
4.0256410256e-03 2.2139540523e+00
4.0341880342e-03 7.0584881795e-01
4.0427350427e-03 4.8571712586e-01
4.0512820513e-03 7.4020952905e-01
4.0598290598e-03 2.2046856131e-01
4.0683760684e-03 1.6655041710e-01
4.0769230769e-03 4.9943157338e-02
4.0854700855e-03 2.3592776196e-01
4.0940170940e-03 1.7863044286e+00
4.1025641026e-03 2.8440581525e-01
4.1111111111e-03 5.0394734321e-01
4.1196581197e-03 2.2622409011e-01
4.1282051282e-03 1.0497347689e-01
4.1367521368e-03 3.3410109266e-01
4.1452991453e-03 1.7422565088e-01
4.1538461538e-03 4.2429184843e-01
4.1623931624e-03 4.5139443987e-01
4.1709401709e-03 2.0229459446e+00
4.1794871795e-03 8.2523469954e-01
4.1880341880e-03 2.2874211052e-01
4.1965811966e-03 5.8359111962e-02
4.2051282051e-03 7.6187684871e-01
4.2136752137e-03 7.9694324163e-01
4.2222222222e-03 2.0957408750e-01
4.2307692308e-03 2.9469907486e-02
4.2393162393e-03 1.0944269384e+00
4.2478632479e-03 1.0934079864e-01
4.2564102564e-03 1.0980321233e+00
4.2649572650e-03 1.9177751121e-02
4.2735042735e-03 3.6601232447e-01
4.2820512821e-03 5.3899970672e-01
4.2905982906e-03 1.1094566050e+00
4.2991452991e-03 1.3460758163e-01
4.3076923077e-03 1.0199548143e+00
4.3162393162e-03 2.5977189900e-01
4.3247863248e-03 2.5042446407e-01
4.3333333333e-03 1.6583744011e+00
4.3418803419e-03 7.2672439029e-02
4.3504273504e-03 7.8117520506e-01
4.3589743590e-03 2.5224645041e-01
4.3675213675e-03 1.5143640195e-01
4.3760683761e-03 1.3100529271e+00
4.3846153846e-03 2.3724277264e-01
4.3931623932e-03 1.3787348676e-01
4.4017094017e-03 9.2241121893e-01
4.4102564103e-03 1.3339924772e-02
4.4188034188e-03 7.9206329223e-01
4.4273504274e-03 1.3026565003e+00
4.4358974359e-03 2.0772492743e-01
4.4444444444e-03 4.3610275537e-01
4.4529914530e-03 1.4975927369e-01
4.4615384615e-03 4.9002010422e-01
4.4700854701e-03 4.3680657830e-01
4.4786324786e-03 1.1276153779e+00
4.4871794872e-03 6.3701687227e-02
4.4957264957e-03 2.9944037347e-01
4.5042735043e-03 4.5474737469e-01
4.5128205128e-03 2.0484486323e-01
4.5213675214e-03 4.9986805091e-01
4.5299145299e-03 9.1269421968e-01
4.5384615385e-03 3.9908924981e-01
4.5470085470e-03 1.5195718751e+00
4.5555555556e-03 8.0045876719e-02
4.5641025641e-03 1.3760647888e-02
4.5726495726e-03 9.2365064347e-02
4.5811965812e-03 3.2776831673e-01
4.5897435897e-03 1.0439598968e+00
4.5982905983e-03 3.7171009859e-01
4.6068376068e-03 3.2922187965e-01
4.6153846154e-03 2.8270677650e-01
4.6239316239e-03 1.6368176509e-01
4.6324786325e-03 1.0423598779e+00
4.6410256410e-03 9.7221902971e-01
4.6495726496e-03 5.4831764667e-02
4.6581196581e-03 3.2407244321e-01
4.6666666667e-03 3.0805269587e-01
4.6752136752e-03 1.2131719244e-01
4.6837606838e-03 1.1621572098e+00
4.6923076923e-03 5.9431661064e-02
4.7008547009e-03 1.3291496997e-01
4.7094017094e-03 1.0688290329e+00
4.7179487179e-03 6.4067154435e-01
4.7264957265e-03 1.1087595734e+00
4.7350427350e-03 8.1721565391e-02
4.7435897436e-03 8.1257387825e-02
4.7521367521e-03 2.1661940658e-01
4.7606837607e-03 1.5934004199e-01
4.7692307692e-03 2.0035605052e+00
4.7777777778e-03 5.8240361713e-01
4.7863247863e-03 2.7635904271e-01
4.7948717949e-03 8.8344226669e-01
4.8034188034e-03 9.0767746711e-01
4.8119658120e-03 6.8790230878e-01
4.8205128205e-03 7.0866613552e-01
4.8290598291e-03 5.3659487685e-01
4.8376068376e-03 4.4228887924e-01
4.8461538462e-03 4.6695948100e-01
4.8547008547e-03 7.5051648289e-01
4.8632478632e-03 4.7385847572e-01
4.8717948718e-03 3.3233967384e-01
4.8803418803e-03 1.3103811794e+00
4.8888888889e-03 6.2697462415e-02
4.8974358974e-03 1.6801613069e+00
4.9059829060e-03 2.0134211827e-01
4.9145299145e-03 3.4654767011e-02
4.9230769231e-03 7.2326887923e-02
4.9316239316e-03 1.8705399480e-01
4.9401709402e-03 2.3750393211e-01
4.9487179487e-03 5.6003249515e-02
4.9572649573e-03 2.7052042548e-01
4.9658119658e-03 1.0400514077e-01
4.9743589744e-03 6.6120742566e-01
4.9829059829e-03 5.5686277892e-01
4.9914529915e-03 5.2004675403e-02
5.0000000000e-03 5.2342571079e-02
