,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
69,70,3.6 microns          , 0.025                         ,+/- 10  %  ,Jy                   ,83300000000000.0,0.025,+/- 2.50E-03 ,Jy                   ,"Broad-band
","8.5"" aperture                           ",1978ApJ...226..550R,70
70,71,4.5 microns (IRAC)   , 7.65                          ,+/- 0.05   ,mag                  ,66700000000000.0,0.157,+/- 7.21E-03 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..187..172G,71
71,72,5.5 microns (IRS)    , 2.39E-01                      ,+/- 1.25E-02 ,Jy                   ,54500000000000.0,0.239,+/- 1.25E-02 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...705...14D,72
72,73,5.8 microns (IRAC)   , 7.02                          ,+/- 0.04   ,mag                  ,52300000000000.0,0.179,+/- 6.59E-03 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..187..172G,73
73,74,6 microns (Spitzer)  , 14.11E-19                     ,+/- 0.73E-19 , W/cm^2^/microns     ,50000000000000.0,0.16899999999999998,+/- 8.77E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...671..124D,74
74,75,PAH 6.2 microns IRS  , 4.7E-13                       ,           ...,erg/s/cm^2^          ,48400000000000.0,47000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2009ApJ...697..182T,75
75,76,PAH 6.2 (Spitzer)    , 7.08E-20                      ,+/- 0.53E-20 ,W/cm^2^              ,48400000000000.0,70800000.0,+/- 5.30E+06 ,Jy-Hz                ,"Line
",                                        ,2009ApJ...701..658W,76
76,77,6.2 microns (IRS)    , 123E-17                       ,+/- 12E-17 ,W/m^2^               ,48400000000000.0,123000000000.0,+/- 1.20E+10 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,77
77,78,PAH 6.2 (Spitzer)    , 3.22E-20                      ,           ...,W/cm^2^              ,48400000000000.0,32200000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJ...730...19S,78
78,79,PAH 6.2 (Spitzer)    , 1.10E-19                      ,+/- 0.04E-19 , W/cm^2^             ,48400000000000.0,110000000000.0,+/- 4.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,79
79,80,LW2 (ISOCAM)         , 114                           ,+/- 4      , milliJy             ,44400000000000.0,0.114,+/- 4.00E-03 ,Jy                   ,"Broad-band
",                                        ,2007AJ....134.2006R,80
80,81,7.4 microns (IRS)    ,...                            ,<186E-17    ,W/m^2^               ,40500000000000.0,,<   1.86E+11 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,81
81,82,7.6 microns (IRS)    , 100E-17                       ,+/- 20E-17 ,W/m^2^               ,39400000000000.0,100000000000.0,+/- 2.00E+10 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,82
82,83,7.7 microns Spitzer  , 295.7                         ,           ...,milliJy              ,38900000000000.0,0.29600000000000004,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...730...19S,83
83,84,7.8 microns (IRS)    , 177E-17                       ,+/- 11E-17 ,W/m^2^               ,38400000000000.0,177000000000.0,+/- 1.10E+10 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,84
84,85,8.0 microns (IRAC)   , 5.83                          ,+/- 0.03   ,mag                  ,38100000000000.0,0.299,+/- 8.25E-03 ,Jy                   ,"Broad-band
",                                        ,2010ApJS..187..172G,85
85,86,8.3 microns (IRS)    , 64E-17                        ,+/- 11E-17 ,W/m^2^               ,36100000000000.0,64000000000.0,+/- 1.10E+10 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,86
86,87,8.6 microns (IRS)    , 59E-17                        ,+/- 8E-17  ,W/m^2^               ,34900000000000.0,59000000000.0,+/- 8.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,87
87,88,[Ar III] (Spitzer)   , 0.03E-19                      ,+/- 0.01E-19 , W/cm^2^             ,33300000000000.0,3000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,88
88,89,LW7 (ISOCAM)         , 168                           ,+/- 4      , milliJy             ,31200000000000.0,0.168,+/- 4.00E-03 ,Jy                   ,"Broad-band
",                                        ,2007AJ....134.2006R,89
89,90,10 microns (IRS)     , 3.31E-01                      ,+/- 6.28E-03 ,Jy                   ,30000000000000.0,0.331,+/- 6.28E-03 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...705...14D,90
90,91,[S IV] (Spitzer)     , 0.07E-19                      ,+/- 0.01E-19 , W/cm^2^             ,28500000000000.0,7000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,91
91,92,10.6 microns         , 0.077                         ,+/- 0.014  ,Jy                   ,28300000000000.0,0.077,+/- 1.40E-02 ,Jy                   ,"Broad-band
","5.7"" aperture                           ",1978ApJ...226..550R,92
92,93,10.8 microns MIRLIN  , 102                           ,+/- 39     ,milliJy              ,27800000000000.0,0.102,+/- 3.90E-02 ,Jy                   ,"Broad-band
","1.5"" diam aperture                      ",2004ApJ...605..156G,93
93,94,PAH 11.2 (Spitzer)   , 6.22E-20                      ,+/- 0.24E-20 ,W/cm^2^              ,26800000000000.0,62200000.0,+/- 2.40E+06 ,Jy-Hz                ,"Line
",                                        ,2009ApJ...701..658W,94
94,95,11.2 microns (IRS)   , 44E-17                        ,+/- 3E-17  ,W/m^2^               ,26800000000000.0,44000000000.0,+/- 3.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,95
95,96,11.3 microns (IRS)   , 138E-17                       ,+/- 7E-17  ,W/m^2^               ,26500000000000.0,138000000000.0,+/- 7.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,96
96,97,PAH 11.3 (Spitzer)   , 5.02E-20                      ,           ...,W/cm^2^              ,26500000000000.0,50200000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJ...730...19S,97
97,98,12.0 microns (IRS)   , 84E-17                        ,+/- 8E-17  ,W/m^2^               ,25000000000000.0,84000000000.0,+/- 8.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,98
98,99,12 microns (IRAS)    , 1.581E-01                     ,+/- 25  %  ,Jy                   ,25000000000000.0,0.158,+/- 3.95E-02 ,Jy                   ,"Broad-band
",IRAS quality flag = 2                   ,1990IRASF.C...0000M,99
99,100,12.6 microns (IRS)   , 108E-17                       ,+/- 8E-17  ,W/m^2^               ,23800000000000.0,108000000000.0,+/- 8.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,100
100,101,[Ne II] (Spitzer)    , 0.11E-19                      ,+/- 0.01E-19 , W/cm^2^             ,23400000000000.0,11000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,101
101,102,[Ne II] 12.8 (IRS)   , 1.9E-13                       ,           ...,erg/s/cm^2^          ,23400000000000.0,19000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2009ApJ...697..182T,102
102,103,[Ne II] 12.81 (IRS)  , 9.32E-21                      ,+/- 0.72E-21 ,W/cm^2^              ,23400000000000.0,9320000000.0,+/- 7.20E+08 ,Jy-Hz                ,"Line
",                                        ,2010ApJ...716.1151W,103
103,104,[Ne II] 12.81        , 11.0E-21                      ,           ...,W/cm^2^              ,23400000000000.0,11000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...17W,104
104,105,[Ne V] 14.32 (IRS)   , 0.47E-21                      ,+/- 0.01E-21 ,W/cm^2^              ,20900000000000.0,470000000.0,+/- 1.00E+07 ,Jy-Hz                ,"Line
",                                        ,2010ApJ...716.1151W,105
105,106,14.7 microns (IRS)   , 2.98E-01                      ,+/- 1.41E-02 ,Jy                   ,20400000000000.0,0.298,+/- 1.41E-02 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...705...14D,106
106,107,15 microns (Spitzer) , 3.16E-19                      ,+/- 0.08E-19 , W/cm^2^/microns     ,20000000000000.0,0.237,+/- 6.00E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...671..124D,107
107,108,[Ne III] 15.56 (IRS) , 5.07E-21                      ,+/- 0.49E-21 ,W/cm^2^              ,19300000000000.0,5070000000.0,+/- 4.90E+08 ,Jy-Hz                ,"Line
",                                        ,2010ApJ...716.1151W,108
108,109,[Ne III] 15.56       , 7.0E-21                       ,           ...,W/cm^2^              ,19300000000000.0,7000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...17W,109
109,110,[Ne III] (Spitzer)   , 0.07E-19                      ,+/- 0.01E-19 , W/cm^2^             ,19300000000000.0,7000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,110
110,111,17.0 microns (IRS)   , 72E-17                        ,+/- 9E-17  ,W/m^2^               ,17600000000000.0,72000000000.0,+/- 9.00E+09 ,Jy-Hz                ,"Line
",                                        ,2010ApJS..187..172G,111
111,112,[S III] 18.7 Spitzer , 0.13E-19                      ,+/- 0.01E-19 , W/cm^2^             ,16000000000000.0,13000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,112
112,113,20 microns (IRS)     , 3.06E-01                      ,+/- 1.11E-02 ,Jy                   ,15000000000000.0,0.306,+/- 1.11E-02 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...705...14D,113
113,114,20 microns (Spitzer) , 1.86E-19                      ,+/- 0.09E-19 , W/cm^2^/microns     ,15000000000000.0,0.248,+/- 1.20E-02 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...671..124D,114
114,115,24 microns (MIPS)    , 3.2580E+05                    ,+/- 2.5061E+02 ,microJy              ,12700000000000.0,0.326,+/- 2.51E-04 ,Jy                   ,"Broad-band
",PSF fit                                 ,2013SSTSLC4.2....0C,115
115,116,24 microns (MIPS)    , 3.1994E+05                    ,+/- 1.5931E+02 ,microJy              ,12700000000000.0,0.32,+/- 1.59E-04 ,Jy                   ,"Broad-band
","14.7"" aperture                          ",2013SSTSLC4.2....0C,116
116,117,[Ne V] 24.32 Spitzer , 0.06E-19                      ,+/- 0.01E-19 , W/cm^2^             ,12300000000000.0,6000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,117
117,118,[Ne V] 24.32 (IRS)   ,...                            ,<0.38E-21   ,W/cm^2^              ,12300000000000.0,470000000.0,<   3.80E+08 ,Jy-Hz                ,"Line
",                                        ,2010ApJ...716.1151W,118
118,119,25 microns (Spitzer) , 0.336                         ,           ...,Jy                   ,12000000000000.0,0.336,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...730...19S,119
119,120,25 microns (IRAS)    ,...                            ,<2.410E-01  ,Jy                   ,12000000000000.0,,<   2.41E-01 ,Jy                   ,"Broad-band
",                                        ,1990IRASF.C...0000M,120
120,121,[O IV] 25.89 (IRS)   , 3.34E-21                      ,+/- 0.18E-21 ,W/cm^2^              ,11600000000000.0,3340000000.0,+/- 1.80E+08 ,Jy-Hz                ,"Line
",                                        ,2010ApJ...716.1151W,121
121,122,[O IV] 25.89         , 7.0E-21                       ,           ...,W/cm^2^              ,11600000000000.0,7000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...17W,122
122,123,[O IV] (Spitzer)     , 0.07E-19                      ,+/- 0.01E-19 , W/cm^2^             ,11600000000000.0,7000000000.0,+/- 1.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,123
123,124,30 microns (Spitzer) , 0.97E-19                      ,+/- 0.01E-19 , W/cm^2^/microns     ,9990000000000.0,0.29100000000000004,+/- 3.00E-03 ,Jy                   ,"Broad-band
",                                        ,2007ApJ...671..124D,124
124,125,30 microns (IRS)     , 3.12E-01                      ,+/- 6.83E-03 ,Jy                   ,9990000000000.0,0.312,+/- 6.83E-03 ,Jy                   ,"Broad-band
",                                        ,2009ApJ...705...14D,125
125,126,[S III] 33.48        , 10.0E-21                      ,           ...,W/cm^2^              ,8950000000000.0,10000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...17W,126
126,127,[S III] 33.5 Spitzer , 0.10E-19                      ,+/- 0.03E-19 , W/cm^2^             ,8950000000000.0,10000000000.0,+/- 3.00E+09 ,Jy-Hz                ,"Line
",                                        ,2007ApJ...671..124D,127
127,128,60 microns (IRAS)    , 8.525E-01                     ,+/- 11  %  ,Jy                   ,5000000000000.0,0.853,+/- 9.38E-02 ,Jy                   ,"Broad-band
",IRAS quality flag = 3                   ,1990IRASF.C...0000M,128
128,129,100 microns (IRAS)   , 2.038E+00                     ,+/- 10  %  ,Jy                   ,3000000000000.0,2.04,+/- 2.04E-01 ,Jy                   ,"Broad-band
",IRAS quality flag = 2                   ,1990IRASF.C...0000M,129
129,130,11 cm (NRAO)         ,...                            ,<72         ,milliJy              ,2700000000000.0,,<   7.20E-02 ,Jy                   ,"Broad-band
",                                        ,1980AJ.....85.1462K,130
130,131,CO(2-1) (CSO)        , 199.27                        ,+/- 25     ,Jy km/s              ,231000000000.0,149000000.0,+/- 1.87E+07 ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...23M,131
131,132,20.0 GHz (OVRO)      , 4.2                           ,+/- 0.6    ,milliJy              ,20000000000.0,0.0042,+/- 6.00E-04 ,Jy                   ,"Broad-band
",                                        ,1987ApJ...313..651E,132
132,133,10.63 GHz (ARO)      ,...                            ,<13         ,milliJy              ,10600000000.0,,<   1.30E-02 ,Jy                   ,"Broad-band
",                                        ,1995ApJS...98..369B,133
133,134,4.89 GHz (VLA)       , 11.50                         ,+/- 0.58   ,milliJy              ,4890000000.0,0.0115,+/- 5.80E-04 ,Jy                   ,"Broad-band
",High-resolution data                    ,1987ApJ...313..651E,134
134,135,4.89 GHz (VLA)       , 11.7                          ,+/- 0.6    ,milliJy              ,4890000000.0,0.0117,+/- 6.00E-04 ,Jy                   ,"Broad-band
",Low-resolution data                     ,1987ApJ...313..651E,135
135,136,4.755 GHz (GBT)      , 20                            ,+/- 5      ,milliJy              ,4760000000.0,0.02,+/- 5.00E-03 ,Jy                   ,"Broad-band
",Probable detection                      ,1995ApJS...98..369B,136
136,137,6 cm (NRAO)          ,...                            ,<30         ,milliJy              ,4750000000.0,,<   3.00E-02 ,Jy                   ,"Broad-band
",                                        ,1980AJ.....85.1462K,137
137,138,1.46 GHz (VLA)       , 28.6                          ,+/- 1.6    ,milliJy              ,1460000000.0,0.0286,+/- 1.60E-03 ,Jy                   ,"Broad-band
",                                        ,1987ApJ...313..651E,138
138,139,HI (21 cm line)      , 6.80                          ,           ...,Jy km s^-1^          ,1420000000.0,31200.0,    ...      ,Jy-Hz                ,"Line
",                                        ,1989H&RHI.C...0000H,139
139,140,HI (21 cm line)      ,...                            ,<2.30       ,Jy km s^-1^          ,1420000000.0,,<   1.06E+04 ,Jy-Hz                ,"Line
",                                        ,1989H&RHI.C...0000H,140
140,141,1.4 GHz (VLA)        , 24.4                          ,           ...,milliJy              ,1400000000.0,0.0244,    ...      ,Jy                   ,"Broad-band
",                                        ,2002AJ....124..675C,141
141,142,1.4GHz               , 24.9                          ,+/- 0.9    ,milliJy              ,1400000000.0,0.0249,+/- 9.00E-04 ,Jy                   ,"Broad-band
",                                        ,1998AJ....115.1693C,142
